English,Hindi,Marathi,Emoji
Wake up early,जल्दी उठो,लवकर उठा,⏰😴➡️🙂
Brush teeth,दांत साफ करो,दात घासा,🪥😁
Wash face,मुँह धो लो,तोंड धुवा,🚿🙂
Take a bath,नहाना,अंघोळ करा,🛁🚿
Comb hair,बाल संवारो,केस विंचरा,💇‍♂️💇‍♀️
Get dressed,कपड़े पहन लो,कपडे घाला,👕👖
Have breakfast,नाश्ता करो,नाश्ता करा,🍞🥛🍳
Go to school,स्कूल जाओ,शाळेत जा,🏫🎒
Say goodbye,अलविदा कहो,नमस्कार करा,👋🙂
Study in class,कक्षा में पढ़ाई करो,वर्गात अभ्यास करा,📚✏️
Listen to teacher,शिक्षक की बात सुनो,शिक्षकांचे ऐका,👩‍🏫👂
Play with friends,दोस्तों के साथ खेलो,मित्रांसोबत खेळा,⚽🤾‍♂️
Eat lunch,दोपहर का खाना खाओ,दुपारचे जेवण करा,🍛🍽️
Drink water,पानी पियो,पाणी प्या,💧🥤
Do homework,होमवर्क करो,गृहपाठ करा,📒✏️
Return home,घर लौटो,घरी या,🏠🙂
Wash hands,हाथ धो लो,हात धुवा,👐🚿
Rest for a while,थोड़ी देर आराम करो,थोडा वेळ विश्रांती घ्या,🛋️😌
Watch TV,टीवी देखो,टीव्ही पहा,📺🙂
Play outside,बाहर खेलो,बाहेर खेळा,🏸🏃
Help mother,माँ की मदद करो,आईला मदत करा,👩‍👦‍👦🍳
Do prayer,प्रार्थना करो,प्रार्थना करा,🙏🕯️
Eat dinner,रात का खाना खाओ,रात्रीचे जेवण करा,🍲🍴
Talk with family,परिवार से बात करो,कुटुंबाशी बोला,👨‍👩‍👧‍👦🙂
Read a storybook,कहानी की किताब पढ़ो,कथाकथन वाचा,📖✨
Brush teeth before bed,सोने से पहले दांत साफ करो,झोपायच्या आधी दात घासा,🪥🌙
Say good night,शुभ रात्रि कहो,शुभ रात्री म्हणा,😴🌙
Go to sleep,सो जाओ,झोपा,🛏️💤
Drink milk,दूध पियो,दूध प्या,🥛🙂
Eat fruits,फल खाओ,फळे खा,🍎🍌🍇
Eat vegetables,सब्जी खाओ,भाज्या खा,🥦🥕🍆
Wash legs,पैर धो लो,पाय धुवा,🦵🚿
Wear shoes,जूते पहन लो,बूट घाला,👟👞
Open the door,दरवाज़ा खोलो,दार उघडा,🚪➡️
Close the door,दरवाज़ा बंद करो,दार बंद करा,🚪❌
Clean the room,कमरा साफ करो,खोली स्वच्छ करा,🧹🧽
Arrange toys,खिलौने सजाओ,खेळणी लावा,🧸📦
Draw picture,चित्र बनाओ,चित्र काढा,🎨✏️
Sing a song,गाना गाओ,गाणे म्हणा,🎤🎶
Dance,नाचो,नाचा,💃🕺
Celebrate birthday,जन्मदिन मनाओ,वाढदिवस साजरा करा,🎂🎉
Go to market,बाज़ार जाओ,बाजारात जा,🛍️🏪
Travel in bus,बस में सफर करो,बसने प्रवास करा,🚌🙂
Ride bicycle,साइकिल चलाओ,सायकल चालवा,🚴‍♂️🚴‍♀️
Drink juice,जूस पियो,रस प्या,🧃🍹
Eat ice cream,आइसक्रीम खाओ,आइसक्रीम खा,🍦🍧
Go to park,पार्क में जाओ,उद्यानात जा,🌳🏞️
Plant a tree,पेड़ लगाओ,झाड लावा,🌱🌳
Feed animals,जानवरों को खाना दो,प्राण्यांना खायला द्या,🐕🐇🐦
Pet the dog,कुत्ते को प्यार करो,कुत्र्याला कुरवाळा,🐶❤️
Wash clothes,कपड़े धो लो,कपडे धुवा,👕🧺
Iron clothes,कपड़े प्रेस करो,कपडे इस्त्री करा,🧺🧼
Help father,पापा की मदद करो,बाबांना मदत करा,👨👧👦
Clean dishes,बर्तन धो लो,भांडी धुवा,🍽️🧽
Ride scooter,स्कूटर चलाओ,स्कूटर चालवा,🛵🙂
Travel by train,ट्रेन से सफर करो,रेल्वेने प्रवास करा,🚆🚉
Use mobile,मोबाइल चलाओ,मोबाइल वापरा,📱🙂
Play video games,वीडियो गेम खेलो,व्हिडिओ गेम खेळा,🎮👾
Go shopping,खरीदारी करो,खरेदी करा,🛍️🛒
Visit doctor,डॉक्टर के पास जाओ,डॉक्टरकडे जा,👩‍⚕️🏥
Take medicine,दवा लो,औषध घ्या,💊💉
Go to temple,मंदिर जाओ,मंदिरात जा,🛕🙏
Go to relatives house,रिश्तेदार के घर जाओ,नातेवाईकांकडे जा,🏠👨‍👩‍👧
